date,product_line,width,height,length_gusset,ship_via,skus,total_quantity,price,material_front_id,material_back_id,num_colors,printing_method,zipper_type,options,customer,salesperson,project,Factory,terms_conditions,item_#,cfmd_skus
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,20000,1.077,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,20000,0.918,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,25000,0.998,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box w/ Accordion Paper Insert ",QRE-07064-02-1.89x0.87x3.74-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,25000,1.13,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box w/ Accordion Paper Insert ",QRE-07064-02-1.89x0.87x3.74-AIR,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,25000,0.949,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-01-1.89x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,25000,0.913,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-01-1.89x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,35000,0.893,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-01-1.89x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,35000,0.922,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-01-1.89x0.87x3.74-SEA,
Aug 12 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,50000,0.893,3598163000037650071,3598163000037650071,1,Digital,N/A - N/A,Foam Insert,Heritage Cannabis,Chris Bromley,SecureSlide Quotes,China Boxes 2,"DDP Cust Whse
CR Paper Box + Foam insert ",QRE-07309-01-1.89x0.87x3.74-AIR,
Aug 12 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.597,3598163000037650071,3598163000037650071,1,Digital,N/A - N/A,,Heritage Cannabis,Chris Bromley,SecureSlide Quotes,China Boxes 2,"DDP Cust Whse
CR Paper Box, No Insert",QRE-07309-02-1.89x0.87x3.74-SEA,
Aug 12 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.665,3598163000037650071,3598163000037650071,1,Digital,N/A - N/A,Foam Insert,Heritage Cannabis,Chris Bromley,SecureSlide Quotes,China Boxes 2,"DDP Cust Whse
CR Paper Box + Foam insert ",QRE-07309-01-1.89x0.87x3.74-SEA,
Aug 12 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,50000,0.844,3598163000037650071,3598163000037650071,1,Digital,N/A - N/A,,Heritage Cannabis,Chris Bromley,SecureSlide Quotes,China Boxes 2,"DDP Cust Whse
CR Paper Box, No Insert",QRE-07309-02-1.89x0.87x3.74-AIR,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.88,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-01-1.89x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.905,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-01-1.89x0.87x3.74-SEA,
Mar 25 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.9,3598163000020543723,3598163000020543723,4,Digital,None - None,,Buckeye Relief LLC,Ryan Holmes,Buckeye Relief Botanical Vape Box,China Boxes,DDP Cust Whse,QRE-06594-1-1.89x0.87x3.74-SEA,
Mar 25 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,50000,0.865,3598163000020543723,3598163000020543723,4,Digital,None - None,,Buckeye Relief LLC,Ryan Holmes,Buckeye Relief Botanical Vape Box,China Boxes,DDP Cust Whse,QRE-06594-2-1.89x0.87x3.74-SEA,
